epoch,train,test,nc1,nc2,nc3,feat_norm
5,0.7995,0.7846,,,,
10,0.83918,0.8153,,,,
15,0.85152,0.8264,,,,
20,0.87972,0.8415,,,,
25,0.87634,0.8339,,,,
30,0.87692,0.834,,,,
35,0.90112,0.8588,,,,
40,0.89002,0.8497,,,,
45,0.87402,0.8318,,,,
50,0.89036,0.8481,,,,
55,0.91054,0.8574,,,,
60,0.89792,0.8555,,,,
65,0.91618,0.8673,,,,
70,0.89652,0.8508,,,,
75,0.9258,0.8795,,,,
80,0.9201,0.8682,,,,
85,0.92088,0.8664,,,,
90,0.90178,0.8604,,,,
95,0.92068,0.8775,,,,
100,0.8953,0.852,,,,
105,0.89414,0.8447,,,,
110,0.9229,0.8757,,,,
115,0.92466,0.875,,,,
120,0.9173,0.8659,,,,
125,0.92516,0.8754,,,,
130,0.92666,0.8783,,,,
135,0.93412,0.8802,,,,
140,0.90958,0.8597,,,,
145,0.91842,0.8685,,,,
150,0.90364,0.8565,,,,
155,0.98246,0.9189,,,,
160,0.9868,0.9216,,,,
165,0.99054,0.9226,0.47566741704940796,0.17784050107002258,0.04396688938140869,6.52281379699707
170,0.99188,0.921,0.4705611765384674,0.17043539881706238,0.04177236557006836,6.641560077667236
175,0.99216,0.9202,0.4706628918647766,0.16182805597782135,0.040235161781311035,6.7900285720825195
180,0.99354,0.9212,0.4639304280281067,0.167583167552948,0.0402294397354126,6.8863301277160645
185,0.99464,0.9204,0.4550482928752899,0.16991032660007477,0.04038679599761963,6.963837623596191
190,0.99584,0.9205,0.4530665874481201,0.16352267563343048,0.039592742919921875,6.9618144035339355
195,0.99596,0.9201,0.4502890706062317,0.16102349758148193,0.039106547832489014,7.129833698272705
200,0.99616,0.9225,0.443520724773407,0.15016533434391022,0.03824174404144287,7.157404899597168
205,0.99638,0.9211,0.44996413588523865,0.15117518603801727,0.03695809841156006,7.144026756286621
210,0.99624,0.9209,0.4442189931869507,0.15145990252494812,0.039140522480010986,7.177371025085449
215,0.99628,0.9188,0.43406251072883606,0.15708108246326447,0.03788936138153076,7.215662479400635
220,0.99598,0.9199,0.4369424879550934,0.15266290307044983,0.039425551891326904,7.264897346496582
225,0.99664,0.9171,0.43155157566070557,0.15103235840797424,0.0367773175239563,7.273207664489746
230,0.9986,0.9201,0.41998493671417236,0.15241320431232452,0.03723633289337158,7.308042526245117
235,0.99864,0.9196,0.42203643918037415,0.14690686762332916,0.03603249788284302,7.3182549476623535
240,0.99914,0.9204,0.41936561465263367,0.14880046248435974,0.03637349605560303,7.335384368896484
245,0.99888,0.9219,0.4152299761772156,0.14985361695289612,0.03654670715332031,7.276121139526367
250,0.99898,0.9218,0.41914474964141846,0.14753754436969757,0.03601771593093872,7.335175514221191
255,0.99918,0.9224,0.4175078570842743,0.14605186879634857,0.03618729114532471,7.326918601989746
260,0.99916,0.9226,0.4171523451805115,0.1453627049922943,0.036052048206329346,7.278613567352295
265,0.99902,0.9214,0.4166094958782196,0.140962615609169,0.03562116622924805,7.354473114013672
270,0.99922,0.9216,0.41470152139663696,0.14423206448554993,0.03607302904129028,7.337368011474609
275,0.99918,0.922,0.41477295756340027,0.14452004432678223,0.036310791969299316,7.382630825042725
280,0.9991,0.9221,0.4145456850528717,0.14141163229942322,0.035816967487335205,7.378153324127197
285,0.99938,0.9224,0.41361650824546814,0.14094178378582,0.035612404346466064,7.349116325378418
290,0.99926,0.9212,0.41359320282936096,0.14035376906394958,0.036018192768096924,7.370141983032227
295,0.99932,0.9209,0.4126760959625244,0.14110806584358215,0.035703063011169434,7.390934467315674
300,0.99936,0.9223,0.4134122431278229,0.14098317921161652,0.035883545875549316,7.35290002822876
