epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.99635,0.9811,1.0605930089950562,0.1844535768032074,0.41554737091064453,30.824787139892578
20,1,0.9980333333333333,0.9828,0.9203035235404968,0.17366591095924377,0.3946985602378845,29.62736701965332
30,1,0.9977166666666667,0.9801,0.9176967740058899,0.16637100279331207,0.3736514449119568,25.506399154663086
40,1,0.9978,0.9815,0.8480291962623596,0.17973409593105316,0.356764018535614,24.91794204711914
50,1,0.9990166666666667,0.9842,0.783298671245575,0.18127766251564026,0.3312638998031616,23.44296646118164
60,1,0.9974333333333333,0.982,0.7297964692115784,0.1883149892091751,0.3008843660354614,22.95889663696289
70,1,0.9971166666666667,0.9815,0.756051778793335,0.19145002961158752,0.2973746061325073,20.9813289642334
80,1,1.0,0.987,0.6750437617301941,0.19563202559947968,0.2740950584411621,21.751813888549805
90,1,1.0,0.9858,0.639731228351593,0.19762000441551208,0.2549184560775757,20.75242042541504
100,1,1.0,0.9861,0.6004131436347961,0.2066933512687683,0.2378740906715393,20.098499298095703
110,1,1.0,0.9855,0.5619530081748962,0.20808540284633636,0.22073787450790405,19.391151428222656
120,1,1.0,0.9866,0.5298711657524109,0.20987018942832947,0.203843891620636,18.54083251953125
130,1,1.0,0.9865,0.48897042870521545,0.2129916548728943,0.1866399049758911,17.862512588500977
140,1,1.0,0.986,0.45222532749176025,0.21375921368598938,0.16629493236541748,17.076122283935547
150,1,1.0,0.9852,0.4180458188056946,0.21446600556373596,0.1470620036125183,16.590070724487305
160,1,1.0,0.9849,0.3911456763744354,0.21620604395866394,0.13278818130493164,15.943814277648926
170,1,1.0,0.9851,0.3711967468261719,0.21645686030387878,0.12242412567138672,15.802083015441895
180,1,1.0,0.9854,0.3609274923801422,0.21650737524032593,0.11752557754516602,15.622631072998047
190,1,1.0,0.9855,0.35680341720581055,0.2166672646999359,0.11553889513015747,15.576269149780273
200,1,1.0,0.9853,0.35597696900367737,0.21668539941310883,0.1151503324508667,15.56041431427002
210,2,0.9890833333333333,0.9797,0.08320916444063187,0.09362871199846268,0.805355429649353,3.817216157913208
220,2,0.99335,0.9822,0.06994812190532684,0.0896928608417511,0.6946355104446411,2.2069077491760254
