epoch,condition,alpha,seed,train,test,nc1,nc2,nc3,feat_norm
210,scale_up,3.0,2,0.9512166666666667,0.9428,0.11006197333335876,0.37466034293174744,0.8073056936264038,4.652917385101318
220,scale_up,3.0,2,0.9711833333333333,0.9591,0.07137836515903473,0.3379354476928711,0.7241657972335815,3.193514108657837
230,scale_up,3.0,2,0.9899833333333333,0.9726,0.04457436874508858,0.267608642578125,0.6272770166397095,2.309617042541504
240,scale_up,3.0,2,0.9934333333333333,0.9738,0.03328884020447731,0.21861983835697174,0.5477969646453857,1.864916443824768
250,scale_up,3.0,2,0.99615,0.9773,0.025042593479156494,0.17765028774738312,0.4781561493873596,1.5642001628875732
260,scale_up,3.0,2,0.99595,0.9769,0.022838374599814415,0.15014934539794922,0.415632426738739,1.3447625637054443
270,scale_up,3.0,2,0.99765,0.9793,0.01662050373852253,0.1330135464668274,0.3661944270133972,1.23847496509552
280,scale_up,3.0,2,0.9986166666666667,0.9816,0.011997194960713387,0.12204844504594803,0.31106430292129517,1.1502736806869507
290,scale_up,3.0,2,0.9979166666666667,0.9799,0.013362349942326546,0.11554975062608719,0.2681877613067627,1.1423527002334595
300,scale_up,3.0,2,0.9976166666666667,0.9782,0.012976684607565403,0.112484872341156,0.21451377868652344,1.1427265405654907
310,scale_up,3.0,2,0.9964,0.9794,0.01384040992707014,0.10860931128263474,0.16480529308319092,1.1441051959991455
320,scale_up,3.0,2,0.99695,0.9817,0.01240851916372776,0.10684697329998016,0.1205902099609375,1.1185604333877563
330,scale_up,3.0,2,0.98975,0.9728,0.020546805113554,0.10896101593971252,0.09287101030349731,1.0876846313476562
340,scale_up,3.0,2,0.9971666666666666,0.9799,0.011666465550661087,0.10417241603136063,0.07753276824951172,1.1279106140136719
350,scale_up,3.0,2,0.99745,0.9793,0.010789385065436363,0.10249924659729004,0.07139140367507935,1.1063364744186401
360,scale_up,3.0,2,0.9978,0.9793,0.010177282616496086,0.10257057845592499,0.06943660974502563,1.117623209953308
370,scale_up,3.0,2,0.99865,0.9815,0.0075699687004089355,0.10254718363285065,0.06804466247558594,1.1031537055969238
380,scale_up,3.0,2,0.9991833333333333,0.982,0.0063402773812413216,0.10136206448078156,0.06742781400680542,1.1301586627960205
390,scale_up,3.0,2,0.9994666666666666,0.9828,0.006352623458951712,0.10292991995811462,0.06749552488327026,1.119644045829773
400,scale_up,3.0,2,0.999,0.98,0.007627648301422596,0.10423461347818375,0.06941545009613037,1.0988945960998535
410,scale_up,3.0,2,0.99945,0.9825,0.006029724609106779,0.10511759668588638,0.06968408823013306,1.1061136722564697
420,scale_up,3.0,2,0.9995833333333334,0.9838,0.005138245411217213,0.10645032674074173,0.07104623317718506,1.1156021356582642
430,scale_up,3.0,2,0.9994833333333333,0.983,0.005153564270585775,0.10746659338474274,0.07256603240966797,1.093015193939209
440,scale_up,3.0,2,0.9995833333333334,0.9833,0.005220589227974415,0.10743919014930725,0.07254064083099365,1.1219929456710815
450,scale_up,3.0,2,0.9996666666666667,0.9833,0.004617288708686829,0.10844415426254272,0.07383519411087036,1.1202185153961182
460,scale_up,3.0,2,0.9995666666666667,0.9815,0.005769427865743637,0.11091342568397522,0.0759347677230835,1.129672646522522
470,scale_up,3.0,2,0.9996833333333334,0.9825,0.004446842707693577,0.11046752333641052,0.07641714811325073,1.1202027797698975
480,scale_up,3.0,2,0.99975,0.9834,0.003978348802775145,0.11156709492206573,0.07685089111328125,1.1319262981414795
490,scale_up,3.0,2,0.9997166666666667,0.9842,0.004009183030575514,0.11127910763025284,0.07726800441741943,1.1325470209121704
500,scale_up,3.0,2,0.9997666666666667,0.9841,0.0037654766347259283,0.11167287081480026,0.07823771238327026,1.129056692123413
510,scale_up,3.0,2,0.9997833333333334,0.9841,0.00343092973344028,0.1125493198633194,0.07876986265182495,1.1407346725463867
520,scale_up,3.0,2,0.9997833333333334,0.9833,0.0033772275783121586,0.11313053220510483,0.07953184843063354,1.1423174142837524
530,scale_up,3.0,2,0.9998166666666667,0.9837,0.00336048798635602,0.11328074336051941,0.07998788356781006,1.1439669132232666
540,scale_up,3.0,2,0.9998166666666667,0.9844,0.0032234250102192163,0.11364268511533737,0.08037108182907104,1.1423977613449097
550,scale_up,3.0,2,0.9998166666666667,0.984,0.0031898790039122105,0.11389323323965073,0.08072757720947266,1.1441906690597534
560,scale_up,3.0,2,0.9998166666666667,0.9846,0.0031991577707231045,0.11423572897911072,0.08098524808883667,1.1450344324111938
570,scale_up,3.0,2,0.9998166666666667,0.9842,0.003164275549352169,0.11427208036184311,0.08124369382858276,1.1462644338607788
580,scale_up,3.0,2,0.9998166666666667,0.9842,0.0031761093996465206,0.11422721296548843,0.08124810457229614,1.145871877670288
590,scale_up,3.0,2,0.9998166666666667,0.984,0.0031696094665676355,0.11435362696647644,0.08130300045013428,1.1458678245544434
600,scale_up,3.0,2,0.9998166666666667,0.9841,0.0031707731541246176,0.11435146629810333,0.08129632472991943,1.145900845527649
