epoch,train,test,nc1,nc2,nc3,feat_norm
10,0.9660166666666666,0.9621,,,,
20,0.9631,0.9581,,,,
30,0.9673333333333334,0.9626,,,,
40,0.9670333333333333,0.9621,,,,
50,0.9676166666666667,0.9596,,,,
60,0.9681333333333333,0.9645,,,,
70,0.9676333333333333,0.9633,,,,
80,0.9682166666666666,0.9627,,,,
90,0.9656666666666667,0.9578,,,,
100,0.9689666666666666,0.9655,,,,
110,0.9688666666666667,0.9622,,,,
120,0.9681833333333333,0.9631,,,,
130,0.9704666666666667,0.9639,,,,
140,0.9720333333333333,0.9654,,,,
150,0.97005,0.9632,,,,
160,0.9691333333333333,0.9624,,,,
170,0.9719166666666667,0.9644,,,,
180,0.9725333333333334,0.9665,,,,
190,0.9709333333333333,0.9656,,,,
200,0.9714333333333334,0.9654,,,,
210,0.9704666666666667,0.9658,,,,
220,0.9724,0.9662,,,,
230,0.97445,0.9663,,,,
240,0.9733,0.9676,,,,
250,0.9732,0.9661,,,,
260,0.9727833333333333,0.9673,,,,
270,0.9736166666666667,0.9667,,,,
280,0.9744666666666667,0.9687,,,,
290,0.9749333333333333,0.9686,,,,
300,0.97335,0.9656,,,,
310,0.97545,0.9684,,,,
320,0.9758166666666667,0.9689,,,,
330,0.9763666666666667,0.9676,,,,
340,0.97575,0.9684,,,,
350,0.9766666666666667,0.9692,,,,
360,0.9767333333333333,0.9704,,,,
370,0.9775,0.9705,,,,
380,0.9771833333333333,0.9698,,,,
390,0.9777833333333333,0.9708,,,,
400,0.9775166666666667,0.9702,,,,
410,0.9779333333333333,0.9705,,,,
420,0.9780166666666666,0.9705,,,,
430,0.97825,0.9707,,,,
440,0.9783333333333334,0.9707,,,,
450,0.9785166666666667,0.9708,,,,
460,0.9788333333333333,0.9708,,,,
470,0.9789833333333333,0.9711,,,,
480,0.9787333333333333,0.9708,,,,
490,0.9788166666666667,0.9706,,,,
500,0.9787666666666667,0.9707,,,,
