epoch,train,test,nc1,nc2,nc3,feat_norm
5,0.6626,0.6799,,,,
10,0.62996,0.6068,,,,
15,0.58978,0.6003,,,,
20,0.59114,0.5737,,,,
25,0.59792,0.5891,,,,
30,0.63276,0.6267,,,,
35,0.689,0.6721,,,,
40,0.59752,0.5671,,,,
45,0.60404,0.5831,,,,
50,0.67566,0.6548,,,,
55,0.57918,0.5847,,,,
60,0.70396,0.7027,,,,
65,0.6648,0.6468,,,,
70,0.66914,0.6687,,,,
75,0.58902,0.5674,,,,
80,0.5907,0.5832,,,,
85,0.5972,0.5853,,,,
90,0.55208,0.5459,,,,
95,0.54916,0.5562,,,,
100,0.706,0.7101,,,,
105,0.68876,0.6805,,,,
110,0.57012,0.5725,,,,
115,0.61606,0.5861,,,,
120,0.703,0.7032,,,,
125,0.66462,0.6549,,,,
130,0.71196,0.7148,,,,
135,0.6086,0.6025,,,,
140,0.53486,0.5144,,,,
145,0.62502,0.6211,,,,
150,0.6751,0.67,,,,
155,0.87788,0.855,,,,
160,0.85672,0.8352,,,,
165,0.84856,0.8289,,,,
170,0.81518,0.7899,,,,
175,0.83468,0.8061,,,,
180,0.88252,0.8538,,,,
185,0.88278,0.8473,,,,
190,0.87384,0.8491,,,,
195,0.8184,0.7949,,,,
200,0.8193,0.7976,,,,
205,0.87254,0.848,,,,
210,0.83248,0.8079,,,,
215,0.87164,0.8412,,,,
220,0.87844,0.8497,,,,
225,0.88472,0.8473,,,,
230,0.95062,0.9023,,,,
235,0.95736,0.9038,,,,
240,0.96082,0.9042,,,,
245,0.96338,0.9079,,,,
250,0.96582,0.9029,,,,
255,0.9665,0.9034,,,,
260,0.9708,0.902,,,,
265,0.96922,0.9006,,,,
270,0.97012,0.9025,,,,
275,0.96898,0.8989,,,,
280,0.97012,0.9003,,,,
285,0.96554,0.8917,,,,
290,0.96624,0.8894,,,,
295,0.96714,0.8909,,,,
300,0.9655,0.8897,,,,
